shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
Ms. Coll. 137,Lectures on chemistry,"","","","","","",Data/0002/mscoll137/data/mscoll137_TEI.xml
378.748 POM 18.10,On Military Fever.,Title page,"Webb, Silas","",eng,1824,"",Data/0002/378_748_pom_18_10/data/378_748_pom_18_10_TEI.xml
Ms. Coll. 390 Item 669,Pārāśarīdaśā|पाराशरीदशा,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item669/data/mscoll390_item669_TEI.xml
Ms. Coll. 742 Folder 36,Curia episcopalis notarial document,"","",In Latin,lat,"","",Data/0002/mscoll742_f36/data/mscoll742_f36_TEI.xml
Ms. Codex 487,"Italian historical miscellany, with anonymous cantii","","","Italian, with some letters in Latin",ita|lat,circa 1686-circa 1720,Italy,Data/0002/mscodex487/data/mscodex487_TEI.xml
Ms. Coll. 390 Item 2680,Cintāmaṇi|चिन्तामणि,"","Gaṅgeśa, active 13th century",In Sanskrit,san,"","",Data/0002/mscoll390_item2680/data/mscoll390_item2680_TEI.xml
Ms. Coll. 390 Item 1005,Saṃkṣepaśārīraka.|संक्षेपशारीरक,"",Sarvajñātman|Madhusūdana Sarasvatī,In Sanskrit,san,"","",Data/0002/mscoll390_item1005/data/mscoll390_item1005_TEI.xml
Ms. Coll. 700 Item 203,Lengua mayá de Yucatan,"","Berendt, C. Hermann 1817-1878","Itzá, Lacandon, and Yucatan dialects of Maya, with brief notes in Spanish and German",myn|spa|ger,1866-1868?,"Petén, Guatemala, and Mérida, Mexico?",Data/0002/mscoll700_item203/data/mscoll700_item203_TEI.xml
Ms. Coll. 390 Item 1839,Makaranda|मकरन्द,"Table, f. 5v","Makarandācārya, active 1438-1478",In Sanskrit,san,"","",Data/0002/mscoll390_item1839/data/mscoll390_item1839_TEI.xml
Ms. Coll. 390 Item 694,Brahmayāmale ahībalacakra|ब्रह्मयामले अहीबलचक्र,"Table, f. 2r","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item694/data/mscoll390_item694_TEI.xml
378.748 POM 34.15,A Dissertation on The effects of Abstinence in The prevention and Cure of Disease /,Title page,"Price, John D","",eng,1820,"",Data/0002/378_748_pom_34_15/data/378_748_pom_34_15_TEI.xml
378.748 POM 52.21 Pt.2,"An Inaugural Essay On The Topography, Climate, and Diseases, of Burke County, Georgia. :",Title page,"Walker, James B","",eng,1828,"",Data/0002/378_748_pom_52_21_pt2/data/378_748_pom_52_21_pt2_TEI.xml
Ms. Codex 1511,Ledger of Concini debtors and creditors and miscellaneous accounts,"","",Italian,"",1629-1631,Terranuova Bracciolini,Data/0002/mscodex1511/data/mscodex1511_TEI.xml
Oversize Ms. Codex 1347,Ledger of Medici accounts,"","",Italian,ita,1547-1559,Italy,Data/0002/mscodex1347/data/mscodex1347_TEI.xml
CAJS Rar Ms 180,Kitāb madāʼiḥ yataḍammanu madāʼiḥ li-shahr Kīhak wa-al-aʻyād al-sayyidīyah kibār wa-ṣighār wa-madāʼiḥ al-arbaʻīn al-muqaddasah wa-al-ṣalīb.|كتاب مدائح يتضمن مدائح لشهر كيهك والاعياد السيدية كبار وصغار ومدائح الأربعين المقدسة والصليب,Kitāb madāʼiḥ yataḍammanu madāʼiḥ li-shahr Kīhak wa-al-aʻyād al-sayyidīyah kibār wa-ṣighār wa-madāʼiḥ al-arbaʻīn al-muqaddasah wa-al-ṣalīb,"",Arabic with some Coptic,ara,between 1700 and 1850?,Egypt?,Data/0002/kcajs_rar_ms180/data/kcajs_rar_ms180_TEI.xml
Ms. Codex 1175,Philosophicae disquisitiones secundum Aristotelis mentem,"","",Latin,"",1752,Naples,Data/0002/mscodex1175/data/mscodex1175_TEI.xml
378.748 POM 49.19,"An Inaugural Essay, On the eighth pair of nerves, :",Title page,"Ware, Edward R","",eng,1827,"",Data/0002/378_748_pom_49_19/data/378_748_pom_49_19_TEI.xml
Ms. Coll. 390 Item 2219,Maṅgalastotra|मङ्गलस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2219/data/mscoll390_item2219_TEI.xml
378.748 POM 21.4,Haemoptysis.,Title page,"May, James","",eng,1820,"",Data/0002/378_748_pom_21_4/data/378_748_pom_21_4_TEI.xml
Ms. Coll. 390 Item 204,Laghuśabdaratna|लघुशब्दरत्न,"",Hari Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item204/data/mscoll390_item204_TEI.xml
Ms. Codex 1181,Naturae constantia,"","","Latin; some words in Greek (as on f. 12r, 49r); French lines of verse (f. 47v)",lat|grc|fre,1663,Germany,Data/0002/mscodex1181/data/mscodex1181_TEI.xml
378.748 POM 42.7,Mash Effluvia /,Title page,"Shanks, Lewis","",eng,1823,"",Data/0002/378_748_pom_42_7/data/378_748_pom_42_7_TEI.xml
Ms. Coll. 764 Item 112,Francesca Massi power of attorney,"","San Miniato, Bartolomeo di",In Latin,lat,"","",Data/0002/mscoll764_item112/data/mscoll764_item112_TEI.xml
Ms. Coll. 390 Item 1468,Sthāvaraliṅgapūjā|स्थावरलिङ्गपूजा,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1468/data/mscoll390_item1468_TEI.xml
Halper 148,From a Judeo-Arabic treatise on the meaning of dreams,"","",Judeo-Arabic,jrb,"",Orient,Data/0002/h148/data/h148_TEI.xml
Ms. Coll. 390 Item 660,Māsabhāvaphala|मासभावफल,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item660/data/mscoll390_item660_TEI.xml
Ms. Coll. 390 Item 2689,Prauḍhmanoramā tiṅanta|प्रौढ्मनोरमातिङन्त,"",Bhaṭṭojī Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item2689/data/mscoll390_item2689_TEI.xml
Ms. Coll. 390 Item 1830,Bālabodha|बालबोध,"Table, f. 10v",Muñjāditya,In Sanskrit,san,"","",Data/0002/mscoll390_item1830/data/mscoll390_item1830_TEI.xml
Ms. Coll. 390 Item 452,Viṣṇusahasranāmastotram patrāṇi 32|विष्णुसहस्रनामस्तोत्रम् पत्राणि 32,"","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item452/data/mscoll390_item452_TEI.xml
CAJS Rar Ms 510,Zikhronotenu me-ʻir moladtenu Ropshits ha-ḥavivah|זכרונותינו מעיר מולדתינו ראפשיץ החביבה,"","",In Yiddish and Hebrew,yid|heb,between 1930-1950,"",Data/0002/kcajs_rar_ms510/data/kcajs_rar_ms510_TEI.xml
Oversize Ms. Roll 1066,Genealogical chronicle of the kings of England to Edward IV,"","","Latin, with a few words in Middle English",lat|enm,ca. 1461,"London?, England",Data/0002/msroll1066/data/msroll1066_TEI.xml
378.748 POM 29.7,"An Essay on the Operation of Medicines on the Animal System, and Several Physiological Points with which It is Connected.",Title page,"Jones, Tingnal","",eng,1813,"",Data/0002/378_748_pom_29_7/data/378_748_pom_29_7_TEI.xml
Halper 183,"Haggadah, end portion, Erets-Yiśraʾel rite","","",Hebrew; Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE); Judeo-Arabic,heb|arc|jrb,"",Orient,Data/0002/h183/data/h183_TEI.xml
378.748 POM 28.11,A Dissertation on the Febris infantum remittens /,Title page,"Horning, Lewis","",eng,1824,"",Data/0002/378_748_pom_28_11/data/378_748_pom_28_11_TEI.xml
Ms. Coll. 390 Item 2226,Daśarathaśanaiścarastotra|शनिश्चरस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2226/data/mscoll390_item2226_TEI.xml
Ms. Codex 1378,Tassas de la corte de Roma,"Capitulo primero que trata de los impedimentos por los quales no se puede contraher matrimonio en los grados prohividos por el derecho y concilio de Trento, f. 1r|Parte segunda que trata de las causas benficiales y su modo de expedicion en Roma, f. 20r|Tercera parte que trata de diversas causas y materias meregratiosas[?] tanto in foro conscientiae quanto in exteriori y su modo de expedicion en esta Curia Romana, f. 37r","","Spanish, with some terms in Latin",spa|lat,17--,Spain,Data/0002/mscodex1378/data/mscodex1378_TEI.xml
Ms. Coll. 390 Item 2014,Rudranāmāvalī|रुद्रनामावली,"","Bhaṭṭa Purāṇīka, Bālakṛṣṇa (Son of Nārāyaṇa)",In Sanskrit,san,"","",Data/0002/mscoll390_item2014/data/mscoll390_item2014_TEI.xml
Ms. Coll. 390 Item 1691,Siddhāntakaumudī|सिद्धान्तकौमुदी,"",Bhaṭṭojī Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item1691/data/mscoll390_item1691_TEI.xml
378.748 POM 23.9,Cholera infantum.,Title page,"Hamilton, Thomas","",eng,1820,"",Data/0002/378_748_pom_23_9/data/378_748_pom_23_9_TEI.xml
Ms. Coll. 390 Item 499,Rasamañjarī|रसमञ्जरी,"",Bhānudatta Miśra,In Sanskrit,san,"","",Data/0002/mscoll390_item499/data/mscoll390_item499_TEI.xml
Ms. Coll. 390 Item 2470,Ādityahṛdayastotra|आदित्यहृदयस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2470/data/mscoll390_item2470_TEI.xml
Oversize Ms. Codex 677,Diario historico de successi del concilio di Trento,"","",Italian,ita,ca. 1600,Italy,Data/0002/mscodex677/data/mscodex677_TEI.xml
Ms. Coll. 390 Item 2642,Sītākavaca|सीताकवच,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2642/data/mscoll390_item2642_TEI.xml
Ms. Codex 445,La cronica,"","",Italian,"",after 1614,Italy,Data/0002/mscodex445/data/mscodex445_TEI.xml
Ms. Coll. 390 Item 2484,Gaṇapatistotra|गणपतिस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2484/data/mscoll390_item2484_TEI.xml
Ms. Codex 683,Dubia,"Dubia, f. 6r|Consequentiae, f. 58r|De sensu diviso et composito, f. 72r","Pergola, Paolo della, d. 1455|Strode, Ralph, fl. 1350-1400|Pergola, Paolo della, d. 1455",Latin,lat,1454,Bologna,Data/0002/mscodex683/data/mscodex683_TEI.xml
Misc Mss (Large) Box 1 Folder 20,Miscellaneous manuscripts (Large),"","Cavaciis, Agnes de",In Latin,lat,"","",Data/0002/miscmsslarge_cavaciis/data/miscmsslarge_cavaciis_TEI.xml
Ms. Coll. 390 Item 1201,Śāṇḍilyopaniṣad.|शाण्डिल्योपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1201/data/mscoll390_item1201_TEI.xml
Misc Mss (Large) Box 2 Folder 13,Miscellaneous manuscripts (Large),"","Rudolf II, Holy Roman Emperor, 1552-1612|Vels, Anselm von","In German, with Latin phrase",ger|lat,"","",Data/0002/miscmsslarge_rudolf/data/miscmsslarge_rudolf_TEI.xml
Ms. Coll. 390 Item 1033,Citradīpa|चित्रदीप,"","Mādhava, -1386|Rāmakr̥ṣṇa|Rāmakr̥ṣṇa",In Sanskrit,san,"","",Data/0002/mscoll390_item1033/data/mscoll390_item1033_TEI.xml
Ms. Coll. 390 Item 1457,Vyāsapūjāvidhi|व्यासपूजाविधि,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1457/data/mscoll390_item1457_TEI.xml
Halper 177,"Prayer book, morning Psalms","","",Hebrew,heb,"",Orient,Data/0002/h177/data/h177_TEI.xml
Ms. Coll. 390 Item 835,Saṃnyāsādīpikā|संन्यासादीपिका,"",Śaivagāmīnāgnihotrī,In Sanskrit,san,"","",Data/0002/mscoll390_item835/data/mscoll390_item835_TEI.xml
Ms. Coll. 390 Item 1665,Āhnikaprayoga|आह्निकप्रयोग,"",Kamalākara,In Sanskrit,san,"","",Data/0002/mscoll390_item1665/data/mscoll390_item1665_TEI.xml
Halper 345,Court document,"","",Judeo-Arabic,jrb,"",Fustat,Data/0002/h345/data/h345_TEI.xml
Ms. Coll. 390 Item 1239,Ṭīkāratnāvalī brahmānandī|टीकारत्नावली ब्रह्मानन्दी,"","Brahmānandasarasvatī, active 17th century",In Sanskrit,san,"","",Data/0002/mscoll390_item1239/data/mscoll390_item1239_TEI.xml
Misc Mss (Large) Box 3 Folder 9 Box 3 Folder 9,Francis I brevet,"","Francis I, King of France, 1494-1547",In Middle French,frm,1524,"",Data/0002/miscmsslarge_box3_f9/data/miscmsslarge_box3_f9_TEI.xml
Ms. Coll. 390 Item 455,Gaṇeśastotra|गणेशस्तोत्र,"",Vyāsa,In Sanskrit,san,"","",Data/0002/mscoll390_item455/data/mscoll390_item455_TEI.xml
Ms. Coll. 390 Item 667,Jātakālaṅkāravartma|जातकालङ्कार,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item667/data/mscoll390_item667_TEI.xml
Ms. Coll. 742 Folder 38,List of Sienese government officials,"","",In Latin,lat,"","",Data/0002/mscoll742_f38/data/mscoll742_f38_TEI.xml
Ms. Coll. 390 Item 1837,Makarandasāriṇi|मकरन्दसारिणि],"Tables throughout, f. 1r to f. 20v","Makarandācārya, active 1438-1478",In Sanskrit,san,"","",Data/0002/mscoll390_item1837/data/mscoll390_item1837_TEI.xml
Ms. Coll. 390 Item 203,Prauḍhamanoramā|प्रौढमनोरमा,"",Bhaṭṭojī Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item203/data/mscoll390_item203_TEI.xml
Ms. Codex 1186,Le tison d'Espagne ou origines de la plus grande partie des familles nobles de ce royaume et du Portugal,"","",French,fre,after 1742,France,Data/0002/mscodex1186/data/mscodex1186_TEI.xml
Ms. Coll. 764 Item 115,Mattea Petrini power of attorney,"","San Miniato, Bartolomeo di",In Latin,lat,"","",Data/0002/mscoll764_item115/data/mscoll764_item115_TEI.xml
CAJS Rar Ms 341,Kitab al-tarikh.,"","Abū al-Fatḥ ibn Abī al-Ḥasan, al-Sāmirī, active 1355","",ara,"","",Data/0002/kcajs_rar_ms341/data/kcajs_rar_ms341_TEI.xml
Ms. Codex 825,Summa totius logicae,"Partial list of contents, f. 102r","William, of Ockham, ca. 1285-ca. 1349",Latin,lat,between 1350 and1399,Bologna,Data/0002/mscodex825/data/mscodex825_TEI.xml
Oversize Ms. Codex 1172,Vita Sanctae Katharinae de Alexandria,"","Albertano, da Brescia, 13th cent",Latin,lat,1458,Germany,Data/0002/mscodex1172/data/mscodex1172_TEI.xml
378.748 POM 21.3,"An Inaugural Essay on Haemoptysis, :",Title page,"Cook, Joseph H. (Environmental economist)","",eng,1819,"",Data/0002/378_748_pom_21_3/data/378_748_pom_21_3_TEI.xml
Halper 389,Letter to Judah ben Moses ben Sujmar of Fustat,"","",Judeo-Arabic,jrb,"","Mazara, Sicily",Data/0002/h389/data/h389_TEI.xml
Ms. Coll. 682,John Clifford Diary,"List of flower seeds received|Purchases for 1804 and 1805|Continuation of list of flower seeds|Miscellaneous accounts|Miscellaneous accounts|List of trees purchased|Miscellaneous accounts|December 29-31, 1804|January 1-2, 1805|January 3-5, 1805|January 6-9, 1805|January 10-12, 1805|January 12-14, 1805|January 15-17, 1805|January 18, 1805|January 21-24, 1805|January 25-28, 1805|January 29-February 2, 1805|February 3-5, 1805|February 6-8, 1805|February 8-11, 1805|February 13-16, 1805|February 17-20, 1805|February 20-21, 1805|February 23-25, 1805|February 26-28, 1805|March 1-3, 1805|March 4-6, 1805|March 7-9, 1805|March 10-13, 1805|March 14-16, 1805|March 18-21, 1805|March 21-25, 1805|March 26-29, 1805|March 30-April 3, 1805|April 4-6, 1805|April 7-10, 1805|April 11-15, 1805|April 16-19, 1805|April 20-23, 1805|April 24-28, 1805|April 29-May 2, 1805|May 3-6, 1805|May 7-13, 1805|May 14-18, 1805|May 19-21, 1805|May 22-25, 1805|May 26-30, 1805|May 31-June 4, 1805|June 5-8, 1805|June 9-13, 1805|June 14-18, 1805|June 18-20, 1805|June 21-26, 1805|June 27-July 2, 1805|July 3-9, 1805|July 10-14, 1805|July 15-20, 1805|July 21-27, 1805|July 28-August 4, 1805|August 5-16, 1805|August 17, 1805|August 18-23, 1805|August 24-28, 1805|August 29-September 3, 1805|September 4-8, 1805|September 9-13, 1805|September 14-17, 1805|September 18-22, 1805|September 23-28, 1805|September 29-October 3, 1805|October 4-8, 1805|October 9-13, 1805|October 14-20, 1805|October 20-22, 1805|October 23-25, 1805|October 26-November 1, 1805|November 2-7, 1805|November 8-15, 1805|November 15-24, 1805|November 25-December 1, 1805|December 2-8, 1805|December 9-17, 1805|December 18-23, 1805|December 24-30, 1805|December 31, 1805-January 7, 1806|January 8-14, 1806|January 15-22, 1806|January 23-28, 1806|January 29-February 3, 1806|February 4-11, 1806|February 12-14, 1806|February 15-18, 1806|February 19-23, 1806|February 24-March 1, 1806|March 2-7, 1806|March 8-12, 1806|March 13-18, 1806|March 19-24, 1806|March 26-28, 1806|March 29-April 1, 1806|April 2-5, 1806|April 6-8, 1806|April 8-10, 1806|April 10-12, 1806|April 13-16, 1806|April 17-20, 1806|April 21-22, 1806|April 23-26, 1806|April 26-30, 1806|April 30-May 3, 1806|May 4-8, 1806|May 9-13, 1806|May 14-19, 1896|May 20-25, 1806|May 26-31, 1806|June 1-5, 1806|June 6-10, 1806|June 11-14, 1806|June 15-19, 1806|June 20-23, 1806|June 24-29, 1806|June 30-July 3, 1806|July 4-17, 1806|July 17, 1806|July 17-21, 1806|July 22-29, 1806|July 30-August 4, 1806|August 5-12, 1806|August 13-21, 1806|August 22-27, 1806|August 28-September 1, 1806|September 2-7, 1806|September 8-12, 1806|September 13-18, 1806|September 19-24, 1806|October 16-17, 1806|October 18-23, 1806|October 24, 1806|October 24-29, 1806|October 30-November 8, 1806|November 10-18, 1806|November 19-25, 1806|November 26-December 2, 1806|December 3-9, 1806|December 11-15, 1806|December 16-23, 1806|December 24-30, 1806|January 1-5, 1807|January 7-10, 1807|January 11-31, 1807|February 1-4, 1807|February 5-11, 1807|February 12-19, 1807|February 20-25, 1807|February 26-March 6, 1807|March 7-9, 1807|March 10-14, 1807|March 15-19, 1807|March 23-24, 1807|March 25-29, 1807|April 2-3, 1807|April 4-6, 1807|April 7-9, 1807|April 10-13, 1807|April 14-16, 1807|April 17-20, 1807|April 21-25, 1807|April 26-30, 1807|May 1-2, 1807|May 3-9, 1807|May 10-15, 1807|May 16-19, 1807|May 20-25, 1807|May 26-30, 1807|May 31-June 6, 1807|June 7-10, 1807|June 11-15, 1807|June 16-23, 1807|June 24-29, 1807|June 30-July 6, 1807|July 7-11, 1807|July 12-31, 1807|August 1-8, 1807|August 9-16, 1807|August 17-22, 1807|August 23-29, 1807|August 30-September 5, 1807|September 5-14, 1807|September 15-21, 1807|September 22-29, 1807|October 1-5, 1807|October 6-13, 1807|October 14-20, 1807|October 21-27, 1807|October 28-November 2, 1807|November 3-12, 1807|November 13-19, 1807|November 21-30, 1807|December 1-7, 1807|December 9-21, 1807|December 22-31, 1807|January 1-11, 1808|January 12-21, 1808|January 22-29, 1808|January 30-February 5, 1808|February 6-12, 1808|February 16-24, 1808|February 25-March 4, 1808|March 5-11, 1808|March 12-19, 1808|March 20-23, 1808|March 24-30, 1808|March 31-April 6, 1808|April 7-15, 1808|April 16-24, 1808|April 25-May 2, 1808|May 3-10, 1808|May 11-20, 1808|May 21-30, 1808|May 31-June 9, 1808|June 10-14, 1808|June 15-23, 1808|June 25-July 2, 1808|July 3-12, 1808|July 13-23, 1808|July 24-August 5, 1808|August 6-15, 1808|August 16-25, 1808|August 26-September 4, 1808|September 5-October 4, 1808|October 6-15, 1808|October 16-30, 1808|October 31-November 13, 1808|November 14-27, 1808|November 28-December 6, 1808|December 7-21, 1808|December 22, 1808-January 1, 1809|January 2-15, 1809|January 15-31, 1809|February 1-15, 1809|February 16-March 4, 1809|March 5-18, 1809|March 19-30, 1809|March 31-April 11, 1809|April 12-27, 1809|April 28-May 14, 1809|May 15-29, 1809|May 30-June 13, 1809|June 14-28, 1809|June 29-July 9, 1809|July 10-26, 1809|July 27-August 7, 1809|August 13-24, 1809|August 25-September 6, 1809|September 7-19, 1809|September 20-October 3, 1809|October 4-20, 1809|October 20-November 1, 1809|November 2-12, 1809|November 13-25, 1809|November 26-December 11, 1809|December 15-21, 1809|December 22-27, 1809|December 28-31, 1809|Acounts, October-December 1809|Accounts, October-December 1809, continued|Accounts, June-September 1808|Accounts, September-December 1808|Accounts, December 1808-April 1809|Accounts, April-July 1809|Account, July-October, 1809|Money expended for sundry purposes, 1807|Money expended for family use, 1807-1808|Money expended for family use, 1808|Accounts, March-June 1807|Fruit harvest times, by Daniel Smith and Company (pasted over ""Sales of the effects of William G. Smith, Bankrupt"")|Fruit harvest times, by Daniel Smith and Company, continued  (pasted over ""Sales of the effects of William G. Smith, Bankrupt"")|Fruit harvest times, by Daniel Smith and Company, continued  (pasted over ""Sales of the effects of William G. Smith, Bankrupt"")|July 22, 1788|July 19, 1788|July 18, 1788|July 16, 1788|July 15, 1788|July 14, 1788|July 2, 1788|July 1, 1788|Sales of the effects of William G. Smith, Bankrupt|Marketing expenses|Accounts|Invoice of Merchandize purchased by Jonathan G. Williams for account of Mr. John Clifford, 1812|Genealogical notes on the Pemberton family|Witnesses to the marriage of Phineas Pemberton and his second wife Alice Hodgson on March 18, 1699","",Primary language: English.,eng,From 1784 to 1812,Philadelphia (Pa. ),Data/0002/html/mscoll682/data/mscoll682_TEI.xml
Oversize Ms. Codex 1340,Ledger of Medici accounts,"","",Italian,ita,1542-1543,Italy,Data/0002/mscodex1340/data/mscodex1340_TEI.xml
Ms. Coll. 390 Item 2448,Dattātreyastotra|दत्तात्रेयस्तोत्र,"",Śaṃkarabhagavatpāda,In Sanskrit,san,"","",Data/0002/mscoll390_item2448/data/mscoll390_item2448_TEI.xml
Ms. Coll. 390 Item 693,Muhūrtacintāmaṇi|मुहूर्तचिन्तामणि,"","Rāma Daivajña, active 17th century",In Sanskrit,san,"","",Data/0002/mscoll390_item693/data/mscoll390_item693_TEI.xml
378.748 POM 34.12,An Inaugural Dissertation on Rest as a remedy in Diseases. /,Title page,"Wilstach, Charles Frederick","",eng,1820,"",Data/0002/378_748_pom_34_12/data/378_748_pom_34_12_TEI.xml
Oversize Ms. Codex 1516,"Ledger of Medici debtors and creditors, accounts and memoranda","","Medici, Bernardo de'",Italian,ita,1456-1457,Florence,Data/0002/mscodex1516/data/mscodex1516_TEI.xml
Ms. Coll. 390 Item 832,Śārīkamīmāṃsābhāṣya|शारीकमीमांसाभाष्य,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item832/data/mscoll390_item832_TEI.xml
Ms. Coll. 390 Item 1662,Ekādaśīnirṇaya|एकादशीनिर्णय,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1662/data/mscoll390_item1662_TEI.xml
Halper 342,Court document (draft),"","",Judeo-Arabic,jrb,"",Fustat,Data/0002/h342/data/h342_TEI.xml
Ms. Coll. 390 Item 1450,Tīrthaśrāddhavidhi|तीर्थश्राद्धविधि,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1450/data/mscoll390_item1450_TEI.xml
Halper 170,Kifāyat al-ʻābidīn.,"","",Hebrew,heb,"",Orient,Data/0002/h170/data/h170_TEI.xml
Ms. Coll. 390 Item 1034,Dvaitavivekaprakaraṇa|द्वैतविवेकप्रकरण,"","Mādhava, -1386|Rāmakr̥ṣṇa|Rāmakr̥ṣṇa",In Sanskrit,san,"","",Data/0002/mscoll390_item1034/data/mscoll390_item1034_TEI.xml
Ms. Coll. 1446,William Harvey indenture,William Harvey indenture,"Harvey, William, 1578-1657|Browne, Lancelot, -1605|Harvey, Thomas","",eng,1604,"",Data/0002/mscoll1446/data/mscoll1446_TEI.xml
Ms. Coll. 390 Item 1808,Nīlakaṇṭhī|नीलकण्ठी,"Table, f. 3r|Tables, f. 3v|Table, f. 4v|Table, f. 7r|Table, f. 7v|Table, f. 9r|Table, f. 42v [=43v]","Nīlakaṇṭha, active 16th century",In Sanskrit,san,"","",Data/0002/mscoll390_item1808/data/mscoll390_item1808_TEI.xml
Ms. Coll. 390 Item 658,Dvādaśabhāvaphala|द्वादशभावफल,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item658/data/mscoll390_item658_TEI.xml
Ms. Codex 1000,Documents of Alençon,"","",French,"",ca. 1615-1797,Alençon,Data/0002/mscodex1000_v6/data/mscodex1000_v6_TEI.xml
Ms. Coll. 106,Letter to the Duke of Arcos :,"","Charles V, Holy Roman Emperor, 1500-1558",In Spanish,spa,"","",Data/0002/mscoll106/data/mscoll106_TEI.xml
Ms. Coll. 390 Item 2483,Ajapāstotra|अजपास्तोत्र,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item2483/data/mscoll390_item2483_TEI.xml
Oversize Ms. Codex 684,Meditationes :,"","Torquemada, Juan de, 1388-1468",Latin,lat,1469,Rome,Data/0002/mscodex684/data/mscodex684_TEI.xml
Ms. Coll. 390 Item 1206,Kenopaniṣad|केनोपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1206/data/mscoll390_item1206_TEI.xml
Ms. Coll. 390 Item 2645,Rām rakṣa|राम रक्ष,"","Rāmānanda, Swami",In Hindi,hin,"","",Data/0002/mscoll390_item2645/data/mscoll390_item2645_TEI.xml
Oversize Ms. Codex 442,Orationi...sopra le discordie civile di Siena,"","Piccolomini, Alessandro, 1508-1578",Italian,ita,between 1575 and 1599,Siena,Data/0002/mscodex442/data/mscodex442_TEI.xml
Ms. Codex 1529,Libro segreto di Pierantonio Benucci e Luigi Nestri e tintori d' arte maggiore,"","",Italian,"",1633-1641,Florence,Data/0002/mscodex1529/data/mscodex1529_TEI.xml
Ms. Coll. 390 Item 2477,Vedapādastava|वेदपादस्तव,"",Jaimini,In Sanskrit,san,"","",Data/0002/mscoll390_item2477/data/mscoll390_item2477_TEI.xml
Ms. Codex 670,Collection of copies of documents related to the Duchy of Paliano,"","",Italian and Latin,ita|lat,1658,Italy,Data/0002/mscodex670/data/mscodex670_TEI.xml
Ms. Codex 214,Recipe book,"","","","",1698,England,Data/0002/mscodex214/data/mscodex214_TEI.xml
Ms. Coll. 390 Item 2013,Rudrabhāṣya|रुद्रभाष्य,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2013/data/mscoll390_item2013_TEI.xml
Ms. Coll. 390 Item 1696,Śabdakaustubha.|शब्दकौस्तुभ,"",Bhaṭṭojī Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item1696/data/mscoll390_item1696_TEI.xml
Halper 184,"Prayer book, Taḥanun","","",Hebrew; Judeo-Arabic,heb|jrb,"",Orient,Data/0002/h184/data/h184_TEI.xml
378.748 POM 28.16,"An Essay on Phlegmasia Dolens, :",Title page,"Trimble, Isaac P. 1804-1890","",eng,1825,"",Data/0002/378_748_pom_28_16/data/378_748_pom_28_16_TEI.xml
Ms. Coll. 390 Item 2221,Reṇukāsahasranāman|रेणुकासहस्रनामन्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2221/data/mscoll390_item2221_TEI.xml
378.748 POM 49.21,An Inaugural Essay On External Applications. :,Title page,"Cowles, John A","",eng,1828,"",Data/0002/378_748_pom_49_21/data/378_748_pom_49_21_TEI.xml
Ms. Coll. 390 Item 2070,Maṇimūla|मणिमूल,"","Gaṅgeśa, active 13th century",In Sanskrit,san,"","",Data/0002/mscoll390_item2070/data/mscoll390_item2070_TEI.xml
Ms. Codex 277,Il Goffredo :,"","",Italian,"",ca. 1653,Italy,Data/0002/mscodex277/data/mscodex277_TEI.xml
Ms. Coll. 700 Item 57,"Calendario de los indios de Guatemala, 1685, Cakchiquel",1685 Title Page|Advertencia,"",Spanish and Cakchikel,spa|myn,1878,Guatemala,Data/0002/mscoll700_item57/data/mscoll700_item57_TEI.xml
Ms. Codex 1912,Bhāgavatapurāṇa.|[بهگوت پوران],[Bhāgavatapurāṇa].,"",Persian,per,18--?,India?,Data/0002/mscodex1912/data/mscodex1912_TEI.xml
